County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Jasper County ,29097,39,6,68,32,23,6,100,26,34,2,75,21,40,0,70,23,29,6,52,39,29,0,29,39,17,3,30,29,15,2,21,39,23,7,19,28,30,11,47,42,23,1,28,34,36,8,37,35
Jefferson County ,29099,84,1,170,61,72,6,150,56,121,10,196,38,84,7,138,45,78,11,132,46,93,12,160,41,46,11,123,39,39,16,111,39,28,4,89,61,36,11,66,73,51,18,71,51,54,18,74,73
Johnson County ,29101,13,0,19,15,13,0,10,16,7,1,22,20,13,2,27,17,15,2,23,12,5,0,27,5,6,1,9,18,6,0,29,9,9,1,12,6,8,1,14,8,5,2,5,5,9,5,14,15
Knox County ,29103,1,0,0,0,0,0,5,1,3,0,3,0,0,0,0,0,1,1,8,2,0,0,3,0,0,0,5,0,0,0,1,0,0,0,4,1,0,1,8,0,0,0,3,0,5,2,10,0
Laclede County ,29105,26,3,92,17,18,4,85,21,30,7,95,19,31,1,72,13,27,2,64,11,18,5,79,19,15,5,82,15,20,1,87,21,19,8,36,13,30,13,43,16,15,4,24,12,14,5,29,11
Lafayette County ,29107,8,0,10,5,7,9,17,16,10,0,5,15,11,0,22,13,12,2,43,5,11,2,32,15,15,1,29,13,5,0,21,4,7,6,3,7,4,6,12,11,8,2,14,8,7,5,9,15
Lawrence County ,29109,4,1,13,15,15,0,38,21,21,0,33,16,26,5,33,21,19,7,28,21,12,2,32,22,5,4,36,8,5,0,7,3,7,0,18,12,17,12,16,7,5,2,6,7,3,1,6,9
Lewis County ,29111,1,0,4,0,6,1,7,2,17,6,25,0,12,6,28,1,3,2,6,3,5,4,12,3,0,0,10,1,7,1,34,2,1,3,12,3,1,1,10,3,2,1,9,1,3,8,13,1
Lincoln County ,29113,16,0,38,15,21,0,57,14,33,1,38,18,36,1,25,22,23,4,50,23,16,2,10,20,29,2,44,14,13,0,24,12,25,3,55,23,26,14,51,29,23,12,39,30,27,15,61,21
Linn County ,29115,4,0,6,7,9,5,24,7,5,0,7,6,3,2,6,3,2,1,6,2,5,2,18,4,1,0,24,3,1,0,1,6,0,0,3,3,5,1,11,7,4,3,3,3,5,0,6,7
Livingston County ,29117,6,1,8,6,3,1,7,5,7,1,16,3,4,1,4,3,7,2,5,1,1,0,0,2,4,0,9,0,4,0,4,4,3,0,4,4,10,1,5,2,3,0,3,4,1,0,5,5
Macon County ,29121,9,5,13,4,4,2,8,4,0,1,11,2,3,1,14,0,6,0,16,3,2,0,14,5,8,0,23,7,3,2,13,2,7,2,28,9,8,3,28,11,10,11,39,6,3,2,5,6
Madison County ,29123,13,2,16,10,7,0,17,14,8,0,14,8,11,1,18,6,2,6,20,7,2,3,6,4,8,0,12,5,10,1,12,3,11,0,11,4,2,3,4,12,6,3,8,7,10,1,16,6
Maries County ,29125,3,0,8,2,0,0,2,0,0,0,3,2,1,0,4,1,2,0,8,2,6,2,11,5,2,0,13,2,2,0,9,0,0,0,2,2,1,0,5,3,5,2,8,0,2,0,3,1
Marion County ,29127,26,9,63,16,12,3,68,9,22,2,93,11,30,8,100,13,30,10,78,7,15,9,68,2,12,6,83,8,7,6,55,15,21,19,97,7,17,14,72,14,19,16,48,11,16,3,45,12
McDonald County ,29119,9,0,34,9,10,3,20,7,3,0,12,2,3,0,21,6,8,1,11,7,4,0,10,8,1,0,3,4,5,2,1,8,5,0,5,5,3,0,2,3,4,3,3,4,7,2,10,3
Mercer County ,29129,1,1,0,2,2,0,6,0,0,0,2,1,0,0,0,0,1,1,0,1,0,0,5,0,1,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,7,1
Miller County ,29131,6,2,35,10,16,1,27,7,10,3,23,7,4,2,30,7,12,5,51,10,10,3,28,11,12,2,36,5,8,0,30,5,8,1,30,11,13,4,27,13,13,5,23,12,7,2,17,4
Mississippi County ,29133,4,0,8,6,8,0,10,3,5,0,25,11,9,2,20,5,4,2,5,5,2,0,9,3,2,0,3,4,1,1,25,7,6,3,12,5,4,5,17,10,3,0,6,3,0,2,4,3
Moniteau County ,29135,9,1,15,4,5,1,21,2,9,0,4,4,1,0,8,3,6,1,11,5,6,0,19,7,2,1,10,2,5,1,11,3,1,0,7,4,14,4,8,11,6,0,13,2,1,0,0,0
Monroe County ,29137,1,0,8,2,5,0,14,1,2,0,9,6,5,0,4,6,5,0,10,2,2,2,9,1,1,0,5,2,5,8,9,6,2,0,6,4,2,1,5,4,0,2,8,2,0,2,8,2
