County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Loudoun County ,51107,469,427,987,122,448,327,884,109,531,213,1197,111,475,202,1159,125,511,281,1129,117,497,169,1085,90,486,185,1063,86,472,126,1146,99,763,226,1701,133,465,140,907,106,454,116,902,82,514,251,1044,102
Louisa County ,51109,130,18,204,32,88,26,194,39,57,28,118,12,90,30,117,26,99,28,225,42,107,17,276,26,143,47,310,41,132,70,387,26,143,72,476,20,125,44,347,14,79,41,208,15,39,46,179,22
Lunenburg County ,51111,15,1,70,6,20,0,48,12,26,-,33,12,13,1,41,4,21,1,45,12,17,-,65,4,12,7,55,6,15,-,86,4,16,-,94,6,23,2,82,8,11,2,96,8,39,8,138,9
Madison County ,51113,20,4,35,13,22,1,32,7,48,3,53,7,43,1,72,11,50,2,56,7,31,12,73,4,39,4,111,17,44,17,91,8,77,14,164,8,53,40,132,10,29,22,98,7,35,32,92,15
Mathews County ,51115,57,5,65,4,43,1,46,9,32,9,49,7,16,12,45,5,32,11,58,5,18,18,40,2,21,10,40,3,17,21,52,2,41,22,57,6,22,15,30,6,25,9,29,3,5,7,27,7
Mecklenburg County ,51117,49,5,119,15,33,7,67,11,21,8,94,9,55,4,137,11,63,7,129,16,72,33,191,26,85,4,231,21,143,10,284,19,202,18,523,7,70,42,216,27,77,46,248,6,67,45,151,21
Middlesex County ,51119,44,7,88,12,34,9,93,5,24,1,53,6,37,5,65,2,48,14,100,11,54,5,98,2,62,10,112,5,72,5,173,8,94,5,167,6,44,1,85,2,23,-,70,5,22,5,53,6
Montgomery County ,51121,105,7,469,26,107,4,519,40,82,1,375,30,118,12,394,31,139,10,381,35,130,16,445,28,143,14,490,29,193,42,527,44,319,89,816,50,245,31,685,48,251,72,752,36,249,83,767,59
Nelson County ,51125,26,10,88,8,20,-,110,13,40,1,135,13,16,1,154,5,26,9,169,10,36,3,130,0,40,0,143,7,57,1,145,8,61,5,174,11,18,6,93,7,34,12,112,10,32,22,133,15
New Kent County ,51127,39,3,53,5,24,3,42,8,16,1,62,8,17,0,47,3,15,10,28,9,20,4,34,4,23,11,48,5,27,25,90,14,13,30,112,4,47,19,63,11,48,34,91,15,31,34,99,11
Northampton County ,51131,13,-,8,4,9,-,18,7,20,1,11,-,12,-,17,8,6,-,14,4,7,-,16,2,12,3,16,2,12,2,29,9,48,3,39,8,19,5,41,1,22,9,23,4,11,3,36,6
Northumberland County ,51133,14,2,52,1,15,2,53,3,34,3,79,4,22,0,81,3,31,1,70,5,14,6,48,4,8,-,33,1,17,-,58,6,32,4,65,4,17,2,27,2,18,2,32,1,11,9,56,5
Nottoway County ,51135,5,-,6,0,5,0,5,7,6,-,18,1,3,-,7,2,4,-,5,3,18,-,37,10,21,-,39,7,11,-,34,6,20,1,60,11,26,0,28,7,24,-,25,4,9,1,25,3
Orange County ,51137,88,2,172,26,84,2,142,28,54,9,165,17,66,1,210,29,67,5,174,33,104,43,241,27,124,56,306,30,107,72,311,15,140,67,324,20,87,12,119,31,76,41,225,24,71,60,259,27
Page County ,51139,36,1,50,8,48,3,43,12,36,4,49,8,36,1,35,3,35,5,46,8,29,2,55,5,29,4,57,5,34,1,66,5,54,9,109,2,16,0,53,6,44,2,63,8,71,6,71,9
Patrick County ,51141,80,7,108,22,47,3,133,13,77,14,137,12,62,3,116,7,66,15,200,8,54,12,164,5,33,3,90,12,27,-,146,8,35,5,720,11,49,-,92,5,48,6,137,5,39,7,177,9
Pittsylvania County ,51143,86,14,220,45,93,4,237,32,111,14,236,27,124,25,241,32,128,8,306,30,146,16,349,28,147,17,356,33,152,23,506,39,221,4,39,50,177,3,576,32,119,22,445,29,92,46,362,41
Powhatan County ,51145,21,3,24,2,20,5,28,4,15,0,10,6,19,0,23,8,6,1,24,8,9,2,13,9,9,1,13,0,14,1,27,0,35,15,115,5,16,1,14,2,17,23,28,2,55,30,39,16
Prince Edward County ,51147,41,1,95,15,36,6,75,12,49,10,124,8,75,3,112,13,51,2,111,8,43,6,80,14,38,8,46,7,36,5,67,8,60,14,259,13,28,8,60,11,19,11,79,5,23,15,73,10
Prince George County ,51149,44,15,83,9,61,11,117,17,99,19,153,27,92,9,192,15,75,2,118,13,100,4,108,12,69,4,147,8,82,7,168,4,96,127,2542,16,65,6,213,18,54,8,142,12,43,22,122,13
Prince William County ,51153,1027,236,1781,210,1208,370,2098,228,1523,440,2273,225,1526,290,2209,204,1661,267,1809,200,1689,226,1816,141,1943,222,1854,225,1888,95,1965,175,2260,66,1012,273,1340,83,1822,154,1224,138,1488,160,"1,215",173,1664,197
Pulaski County ,51155,232,16,690,60,204,12,566,42,207,15,712,34,207,12,737,38,177,5,778,55,271,31,885,28,262,146,1053,49,269,55,779,37,290,4,57,47,261,41,749,28,192,97,695,34,181,150,688,32
Rappahannock County ,51157,1,0,3,0,8,0,18,1,20,8,33,3,19,3,22,8,14,5,44,0,25,3,37,2,19,1,27,1,20,4,18,5,38,16,1003,5,11,12,44,5,18,-,14,3,18,2,29,0
Richmond County ,51159,12,-,10,-,10,2,14,1,7,-,8,1,5,1,11,1,7,0,13,2,6,-,10,1,5,0,3,2,9,1,15,1,15,2,29,1,10,3,18,2,5,-,13,3,7,2,10,6
Roanoke County ,51161,169,29,508,69,245,60,593,51,230,81,533,47,198,60,472,39,198,43,556,45,248,47,514,40,228,50,540,29,232,71,701,29,307,89,1076,49,247,79,801,36,214,91,959,30,243,107,750,43
Rockbridge County ,51163,19,0,146,13,14,0,156,13,18,12,151,9,22,7,133,6,21,2,98,9,18,4,83,4,37,3,155,15,71,80,347,22,167,202,777,32,106,52,345,17,60,26,231,16,46,24,212,15
Rockingham County ,51165,220,23,892,70,320,28,1032,70,327,33,928,68,268,43,854,82,294,52,908,49,279,29,813,55,292,55,843,37,282,40,852,75,486,74,1237,64,300,89,798,68,349,99,714,49,246,66,580,55
Russell County ,51167,69,9,406,24,63,13,434,20,75,37,435,32,116,71,415,29,122,45,424,26,110,103,570,33,120,88,519,26,163,69,530,35,244,152,725,54,172,172,762,28,129,97,563,27,72,128,582,17
